timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow
1747092047.5844448,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092047.6349251,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092047.6849887,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092047.7350867,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092047.78509,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092047.8353646,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092047.8860083,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092047.9360306,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092047.9870002,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.0375268,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.0878778,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.1386647,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.1893086,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.239915,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.289924,"-87.0,0.0,0.0","-83.0,0.0,0.0","-2.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.339954,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.3899539,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.440479,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.4904807,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.5410078,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092048.5910175,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
