timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow,chest
1747092047.5844448,"980.23,145.02,-4.39,0.43,0.85,-0.18,-50.10,-22.65,32.70,0.72,0.15,-0.68,0.03","891.85,-347.66,-166.26,-0.79,0.73,1.28,-46.80,-40.20,-2.85,0.62,-0.44,-0.62,-0.16","991.94,-126.22,-115.48,-1.65,0.61,0.61,-21.15,3.45,-27.00,0.39,-0.65,-0.36,-0.54","869.14,-457.03,250.49,1.04,0.79,-0.18,-16.20,-34.35,-45.90,0.65,-0.54,-0.29,-0.45","-100.83,905.03,-362.06,-1.65,-0.61,0.79,7.50,-1.80,-12.15,0.24,0.26,0.78,0.51"
1747092047.6349251,"974.85,167.97,-6.84,-0.43,0.61,-0.55,-49.95,-22.20,34.80,0.72,0.15,-0.68,0.03","880.62,-364.99,-162.11,-3.17,1.83,1.83,-45.90,-40.35,-2.70,0.62,-0.44,-0.62,-0.16","985.60,-130.13,-117.92,-1.77,0.24,0.67,-19.50,2.40,-25.35,0.39,-0.65,-0.36,-0.54","863.77,-459.96,245.12,-0.18,0.92,0.43,-17.10,-34.50,-45.60,0.65,-0.54,-0.29,-0.45","-109.13,909.18,-361.08,-1.16,-0.49,0.61,7.80,-2.70,-12.15,0.24,0.26,0.78,0.51"
1747092047.6849887,"971.44,156.49,-8.30,-0.61,0.18,0.00,-51.90,-22.35,32.40,0.72,0.15,-0.68,0.03","886.23,-349.12,-165.53,-1.58,1.46,1.28,-45.15,-40.05,-4.80,0.62,-0.44,-0.62,-0.16","982.67,-121.58,-112.31,-2.81,0.79,0.67,-21.75,4.35,-26.10,0.39,-0.65,-0.36,-0.54","867.43,-437.01,234.38,-0.67,0.00,0.00,-16.65,-35.40,-45.45,0.65,-0.54,-0.29,-0.45","-105.22,908.69,-362.31,-0.92,-1.65,0.73,7.35,-2.85,-12.75,0.24,0.26,0.78,0.51"
1747092047.7350867,"973.63,161.38,-6.84,-0.43,0.00,-0.24,-49.20,-23.25,34.05,0.72,0.14,-0.68,0.03","889.16,-344.24,-166.26,-3.48,1.58,1.89,-46.35,-41.25,-4.65,0.62,-0.44,-0.62,-0.16","985.35,-122.56,-110.84,-2.44,0.73,0.49,-20.40,4.20,-25.95,0.39,-0.65,-0.36,-0.54","865.23,-454.35,236.08,-0.73,0.55,-0.18,-18.90,-34.95,-44.70,0.65,-0.54,-0.29,-0.45","-103.27,901.12,-360.11,-0.24,-1.52,0.92,6.75,-1.50,-11.85,0.24,0.26,0.78,0.51"
1747092047.78509,"979.25,161.13,-4.64,-1.22,0.06,-0.12,-51.15,-23.10,33.15,0.72,0.14,-0.68,0.03","886.96,-355.47,-164.55,-3.11,1.28,2.07,-46.20,-40.05,-4.50,0.62,-0.44,-0.62,-0.16","990.72,-124.51,-125.00,-3.11,0.55,0.00,-18.60,2.25,-26.55,0.39,-0.65,-0.36,-0.54","865.72,-448.98,255.13,-1.16,1.34,0.37,-17.70,-33.90,-45.15,0.65,-0.54,-0.28,-0.45","-104.49,900.88,-355.71,0.00,-1.83,0.61,9.75,-2.25,-13.65,0.24,0.26,0.78,0.51"
1747092047.8353646,"973.88,153.32,-5.86,-0.73,0.49,-0.06,-49.65,-24.60,34.20,0.72,0.14,-0.68,0.03","885.25,-350.10,-165.77,-3.05,2.38,1.89,-45.90,-40.80,-3.15,0.62,-0.44,-0.62,-0.16","989.01,-124.76,-126.22,-2.99,0.49,0.55,-19.50,2.85,-25.65,0.39,-0.65,-0.36,-0.54","865.97,-464.84,253.42,-0.49,1.28,-0.18,-17.70,-35.10,-43.35,0.65,-0.54,-0.28,-0.45","-112.06,900.63,-360.35,-0.43,-1.16,0.67,8.10,-3.60,-12.00,0.24,0.26,0.78,0.51"
1747092047.8860083,"975.83,155.52,-5.37,-0.49,0.85,-0.37,-50.25,-21.45,33.60,0.72,0.14,-0.68,0.03","889.65,-353.52,-157.96,-1.52,1.22,1.58,-45.75,-41.70,-2.55,0.62,-0.44,-0.62,-0.16","989.50,-130.13,-125.73,-2.56,0.24,0.61,-20.40,3.75,-26.55,0.39,-0.65,-0.36,-0.54","862.30,-463.38,245.60,-0.30,1.10,0.00,-16.80,-34.50,-45.60,0.65,-0.54,-0.28,-0.45","-107.67,904.78,-356.69,-0.18,-1.10,0.49,9.00,-2.25,-11.40,0.24,0.26,0.78,0.51"
1747092047.9360306,"982.18,159.67,-3.17,-0.30,0.79,-0.73,-50.10,-22.35,33.45,0.72,0.14,-0.68,0.03","883.06,-352.54,-165.28,-2.01,1.52,2.07,-47.70,-41.85,-3.15,0.62,-0.44,-0.62,-0.16","990.48,-128.66,-122.56,-2.19,0.00,0.18,-20.55,2.85,-26.85,0.39,-0.66,-0.36,-0.54","861.82,-468.75,253.42,-0.06,0.85,0.73,-18.75,-34.65,-44.40,0.65,-0.54,-0.28,-0.45","-100.10,907.47,-358.15,-0.43,-0.98,0.37,7.65,-1.35,-12.30,0.24,0.26,0.78,0.51"
1747092047.9870002,"978.76,159.18,-1.22,0.06,1.28,-0.37,-49.65,-22.65,34.20,0.72,0.14,-0.68,0.03","886.96,-349.37,-162.11,-1.71,1.58,2.01,-46.05,-42.00,-3.90,0.62,-0.44,-0.62,-0.16","991.46,-130.62,-117.92,-2.32,-0.18,0.73,-21.60,4.95,-26.25,0.39,-0.66,-0.36,-0.54","869.14,-464.84,252.20,0.12,1.34,0.92,-17.10,-34.95,-45.00,0.65,-0.54,-0.28,-0.45","-103.76,898.68,-358.40,0.06,-1.04,0.30,7.80,-0.75,-14.40,0.24,0.27,0.78,0.51"
1747092048.0375268,"976.56,161.13,-12.94,-0.73,1.34,-0.49,-50.40,-21.90,33.45,0.72,0.14,-0.68,0.03","889.16,-351.32,-161.62,-1.83,1.71,2.26,-45.30,-40.20,-3.90,0.62,-0.44,-0.62,-0.16","986.33,-126.95,-122.07,-1.89,-0.24,1.04,-21.00,4.05,-26.10,0.39,-0.66,-0.36,-0.54","867.43,-457.76,248.29,0.67,0.61,0.79,-15.90,-33.30,-45.90,0.65,-0.54,-0.28,-0.45","-97.66,906.74,-349.37,-0.73,-0.43,-0.06,8.10,-2.40,-13.05,0.24,0.27,0.78,0.51"
