timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow,chest
1747092047.5844448,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092047.6349251,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092047.6849887,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092047.7350867,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092047.78509,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092047.8353646,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092047.8860083,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092047.9360306,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092047.9870002,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.0375268,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.0878778,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.1386647,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.1893086,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.239915,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.289924,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.339954,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.3899539,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.440479,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.4904807,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.5410078,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.5910175,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.641093,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.6921034,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.742637,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.7926404,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.8432891,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.893301,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.9433427,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092048.9933596,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092049.0438743,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092049.0938773,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092049.1443946,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092049.1944087,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092049.2449317,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092049.2949412,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
